,DTB3,DTB6,DGS5,DGS10,DGS30
1954-01-04 00:00:00,1.33,,,,
1954-01-05 00:00:00,1.28,,,,
1954-01-06 00:00:00,1.28,,,,
1954-01-07 00:00:00,1.31,,,,
1954-01-08 00:00:00,1.31,,,,
1954-01-11 00:00:00,1.33,,,,
1954-01-12 00:00:00,1.3,,,,
1954-01-13 00:00:00,1.3,,,,
1954-01-14 00:00:00,1.28,,,,
1954-01-15 00:00:00,1.2,,,,
1954-01-18 00:00:00,1.2,,,,
1954-01-19 00:00:00,,,,,
1954-01-20 00:00:00,1.16,,,,
1954-01-21 00:00:00,1.08,,,,
1954-01-22 00:00:00,1.0,,,,
1954-01-25 00:00:00,1.0,,,,
1954-01-26 00:00:00,1.0,,,,
1954-01-27 00:00:00,1.08,,,,
1954-01-28 00:00:00,0.96,,,,
1954-01-29 00:00:00,1.02,,,,
1954-02-01 00:00:00,1.04,,,,
1954-02-02 00:00:00,1.0,,,,
1954-02-03 00:00:00,1.02,,,,
1954-02-04 00:00:00,1.01,,,,
1954-02-05 00:00:00,0.9,,,,
1954-02-08 00:00:00,0.89,,,,
1954-02-09 00:00:00,0.88,,,,
1954-02-10 00:00:00,0.93,,,,
1954-02-11 00:00:00,0.94,,,,
1954-02-12 00:00:00,,,,,
1954-02-15 00:00:00,0.98,,,,
1954-02-16 00:00:00,0.98,,,,
1954-02-17 00:00:00,1.02,,,,
1954-02-18 00:00:00,0.97,,,,
1954-02-19 00:00:00,0.96,,,,
1954-02-22 00:00:00,,,,,
1954-02-23 00:00:00,0.95,,,,
1954-02-24 00:00:00,0.97,,,,
1954-02-25 00:00:00,1.0,,,,
1954-02-26 00:00:00,1.0,,,,
1954-03-01 00:00:00,1.03,,,,
1954-03-02 00:00:00,1.03,,,,
1954-03-03 00:00:00,1.05,,,,
1954-03-04 00:00:00,1.03,,,,
1954-03-05 00:00:00,1.02,,,,
1954-03-08 00:00:00,1.03,,,,
1954-03-09 00:00:00,1.03,,,,
1954-03-10 00:00:00,1.06,,,,
1954-03-11 00:00:00,1.05,,,,
1954-03-12 00:00:00,1.04,,,,
1954-03-15 00:00:00,1.04,,,,
1954-03-16 00:00:00,1.02,,,,
1954-03-17 00:00:00,1.01,,,,
1954-03-18 00:00:00,1.01,,,,
1954-03-19 00:00:00,1.0,,,,
1954-03-22 00:00:00,1.0,,,,
1954-03-23 00:00:00,1.0,,,,
1954-03-24 00:00:00,1.05,,,,
1954-03-25 00:00:00,1.07,,,,
1954-03-26 00:00:00,1.05,,,,
1954-03-29 00:00:00,1.05,,,,
1954-03-30 00:00:00,1.04,,,,
1954-03-31 00:00:00,1.03,,,,
1954-04-01 00:00:00,1.02,,,,
1954-04-02 00:00:00,1.0,,,,
1954-04-05 00:00:00,0.98,,,,
1954-04-06 00:00:00,0.97,,,,
1954-04-07 00:00:00,1.0,,,,
1954-04-08 00:00:00,1.0,,,,
1954-04-09 00:00:00,1.03,,,,
